part,name,description,category,product_line_id,release_date,original_condition_id
H6Y86AA#ABM,HP 90W AC LTNA Rfrbd Adapter,HP 90W AC LTNA Adapter,Accessories>AC Adapters,Consumer,2015-03-25,Excess New
H6Y90UT#ABA,HP 90W Smart AC Rfrbd Adapter,HP 90W Smart AC Adapter,Accessories>AC Adapters,Commercial,2015-04-01,Excess New
H6Y89UT#ABA,HP 65W Smart AC Adapter,HP 65W Smart AC Adapter,Accessories>AC Adapters,Commercial,2015-04-03,Refurbished
H6Y89UT#ABA,HP 65W Smart AC Rfrbd Adapter,HP 65W Smart AC Adapter,Accessories>AC Adapters,Commercial,2015-04-08,Refurbished
H5W93AA#ABA,HP ElitePad 40W Rfrbd A/C Rfrbd Adapter ,HP ElitePad Dock 40W A/C Adapter (ElitePad 900/1000 G2),Accessories>Docking Stations,Commercial,2015-04-10,Excess New
H6Y84UT#ABA,HP 90W Slim Combo w/USB Rfrbd Adapter,HP 90W Slim Combo w/USB Adapter,Accessories>AC Adapters,Commercial,2015-04-13,Excess New
H6Y88UT#ABA,HP 45W Smart AC Rfrbd Adapter,HP 45W Smart AC Adapter,Accessories>AC Adapters,Commercial,2015-04-15,Excess New
H6Y83AA#ABA,HP 90W Slim AC Rfrbd Adapter,HP 90W Slim AC Adapter,Accessories>AC Adapters,Commercial,2015-04-15,Excess New
ED493UTR,HP 90W Smart Auto/Truck Rfrbd Adapter,HP 90W Smart Auto/Truck EOS Adapter,Accessories>AC Adapters,Commercial,2015-05-13,Excess New
H6Y88AA#ABA,HP 45W Smart AC Rfrbd Adapter,HP 45W Smart AC Adapter,Accessories>AC Adapters,Commercial,2015-05-22,Refurbished
H6Y90AA#ABA,HP 90W Smart AC Rfrbd Adapter,HP 90W Smart AC Adapter,Accessories>AC Adapters,Commercial,2015-06-24,Refurbished
H6Y82AA#ABA,HP 65W Slim AC Rfrbd Adapter,HP 65W Slim AC Adapter,Accessories>AC Adapters,Commercial,2015-07-10,Excess New
J0E43AA#ABA,HP 65W Smart Travel Rfrbd AC ,HP 65W Smart Travel AC Adapter,Accessories>AC Adapters,Commercial,2015-09-03,Excess New
N2L83AA#ABA,HP 15W Type-C AC ,HP 15W USB Type-C AC Adapter,Accessories>AC Adapters,Commercial,2016-02-22,Excess New
K0V97AA,HP ElitePad 4.5mm AC ,HP ElitePad 4.5mm AC Adapter,Accessories>AC Adapters,Commercial,2016-02-22,Excess New
K4Q78AA#ABA,HP Quick Charge 18W AC US,HP Quick Charge 18W AC Adapter US,Accessories>AC Adapters,Commercial,2016-04-20,Excess New
H6Y84AA#ABA,HP 90W Slim Combo w/USB Rfrbd Adapter,HP 90W Slim Combo w/USB Adapter,Accessories>AC Adapters,Commercial,2016-12-29,Excess New
AL192AA#ABA,HP 150W Smart Rfrbd AC ,"HP 150W Smart AC Adapter (PB 6xxxb-series, EB 8xxxw-series, ZB 15 G1)",Accessories>AC Adapters,Commercial,2017-09-22,Excess New
AZ552AA#ABA,HP thin Client 65 Watt Power Supply,HP thin Client 65 Watt External Power Supply,Accessories>AC Adapters,Commercial,2013-04-08,Refurbished
